id,default_probability,explainability,variables,threshold,looks_defaulter
17780,0.36288768,"{'LIMIT_BAL': 0.07999999821186066, 'AGE': 0.15000000596046448, 'PAY_0': -0.23999999463558197, 'PAY_2': -0.15000000596046448, 'PAY_3': -0.029999999329447746, 'PAY_4': -0.07000000029802322, 'PAY_5': -0.029999999329447746, 'PAY_6': -0.029999999329447746, 'BILL_AMT1': -0.11999999731779099, 'BILL_AMT2': -0.009999999776482582, 'BILL_AMT3': 0.009999999776482582, 'BILL_AMT4': 0.019999999552965164, 'BILL_AMT5': -0.0, 'BILL_AMT6': 0.009999999776482582, 'PAY_AMT1': -0.07000000029802322, 'PAY_AMT2': -0.03999999910593033, 'PAY_AMT3': -0.03999999910593033, 'PAY_AMT4': -0.029999999329447746, 'PAY_AMT5': -0.009999999776482582, 'PAY_AMT6': -0.019999999552965164, 'SEX_1': -0.019999999552965164, 'SEX_2': -0.029999999329447746, 'EDUCATION_1': 0.009999999776482582, 'EDUCATION_2': 0.029999999329447746, 'EDUCATION_3': 0.0, 'EDUCATION_4': 0.0, 'MARRIAGE_1': 0.019999999552965164, 'MARRIAGE_2': 0.03999999910593033, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 2, 'MARRIAGE': 1, 'LIMIT_BAL': 80000, 'AGE': 61, 'PAY_0': 0, 'PAY_2': 0, 'PAY_3': 0, 'PAY_4': 0, 'PAY_5': 0, 'PAY_6': 0, 'BILL_AMT1': 74156, 'BILL_AMT2': 73878, 'BILL_AMT3': 64656, 'BILL_AMT4': 60537, 'BILL_AMT5': 42610, 'BILL_AMT6': 42769, 'PAY_AMT1': 3000, 'PAY_AMT2': 2506, 'PAY_AMT3': 3008, 'PAY_AMT4': 3000, 'PAY_AMT5': 2000, 'PAY_AMT6': 3000}",0.5720118284225464,False
11163,0.2942365,"{'LIMIT_BAL': -0.07999999821186066, 'AGE': -0.019999999552965164, 'PAY_0': -0.20000000298023224, 'PAY_2': -0.18000000715255737, 'PAY_3': -0.07999999821186066, 'PAY_4': -0.07999999821186066, 'PAY_5': -0.03999999910593033, 'PAY_6': -0.09000000357627869, 'BILL_AMT1': 0.10999999940395355, 'BILL_AMT2': 0.019999999552965164, 'BILL_AMT3': -0.019999999552965164, 'BILL_AMT4': -0.009999999776482582, 'BILL_AMT5': -0.029999999329447746, 'BILL_AMT6': -0.019999999552965164, 'PAY_AMT1': 0.12999999523162842, 'PAY_AMT2': -0.05000000074505806, 'PAY_AMT3': 0.12999999523162842, 'PAY_AMT4': -0.1899999976158142, 'PAY_AMT5': -0.05999999865889549, 'PAY_AMT6': -0.05000000074505806, 'SEX_1': -0.019999999552965164, 'SEX_2': -0.009999999776482582, 'EDUCATION_1': -0.009999999776482582, 'EDUCATION_2': -0.029999999329447746, 'EDUCATION_3': -0.0, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.0, 'MARRIAGE_2': 0.0, 'MARRIAGE_3': 0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 1, 'MARRIAGE': 2, 'LIMIT_BAL': 240000, 'AGE': 30, 'PAY_0': -2, 'PAY_2': -2, 'PAY_3': -2, 'PAY_4': -2, 'PAY_5': -2, 'PAY_6': -2, 'BILL_AMT1': 0, 'BILL_AMT2': 0, 'BILL_AMT3': 9625, 'BILL_AMT4': 8864, 'BILL_AMT5': 9248, 'BILL_AMT6': 23353, 'PAY_AMT1': 0, 'PAY_AMT2': 9625, 'PAY_AMT3': 0, 'PAY_AMT4': 9248, 'PAY_AMT5': 23353, 'PAY_AMT6': 1205}",0.5720118284225464,False
27794,0.8455018,"{'LIMIT_BAL': -0.1899999976158142, 'AGE': 0.009999999776482582, 'PAY_0': 1.090000033378601, 'PAY_2': 0.5899999737739563, 'PAY_3': 0.23999999463558197, 'PAY_4': -0.019999999552965164, 'PAY_5': -0.029999999329447746, 'PAY_6': -0.009999999776482582, 'BILL_AMT1': -0.05999999865889549, 'BILL_AMT2': -0.0, 'BILL_AMT3': -0.009999999776482582, 'BILL_AMT4': -0.009999999776482582, 'BILL_AMT5': 0.009999999776482582, 'BILL_AMT6': 0.029999999329447746, 'PAY_AMT1': -0.03999999910593033, 'PAY_AMT2': 0.17000000178813934, 'PAY_AMT3': 0.019999999552965164, 'PAY_AMT4': -0.009999999776482582, 'PAY_AMT5': 0.009999999776482582, 'PAY_AMT6': -0.029999999329447746, 'SEX_1': -0.0, 'SEX_2': -0.009999999776482582, 'EDUCATION_1': 0.0, 'EDUCATION_2': -0.019999999552965164, 'EDUCATION_3': 0.009999999776482582, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.009999999776482582, 'MARRIAGE_2': -0.019999999552965164, 'MARRIAGE_3': 0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 3, 'MARRIAGE': 2, 'LIMIT_BAL': 420000, 'AGE': 25, 'PAY_0': 2, 'PAY_2': 2, 'PAY_3': 2, 'PAY_4': 0, 'PAY_5': 0, 'PAY_6': 0, 'BILL_AMT1': 68394, 'BILL_AMT2': 72874, 'BILL_AMT3': 71035, 'BILL_AMT4': 57503, 'BILL_AMT5': 56467, 'BILL_AMT6': 53995, 'PAY_AMT1': 5620, 'PAY_AMT2': 0, 'PAY_AMT3': 2000, 'PAY_AMT4': 1892, 'PAY_AMT5': 1979, 'PAY_AMT6': 2226}",0.5720118284225464,True
19035,0.3550897,"{'LIMIT_BAL': -0.25, 'AGE': 0.009999999776482582, 'PAY_0': -0.25999999046325684, 'PAY_2': -0.11999999731779099, 'PAY_3': -0.03999999910593033, 'PAY_4': -0.07000000029802322, 'PAY_5': -0.05000000074505806, 'PAY_6': -0.05999999865889549, 'BILL_AMT1': -0.15000000596046448, 'BILL_AMT2': -0.029999999329447746, 'BILL_AMT3': -0.07999999821186066, 'BILL_AMT4': -0.03999999910593033, 'BILL_AMT5': 0.019999999552965164, 'BILL_AMT6': 0.0, 'PAY_AMT1': 0.1599999964237213, 'PAY_AMT2': 0.09000000357627869, 'PAY_AMT3': 0.09000000357627869, 'PAY_AMT4': 0.10999999940395355, 'PAY_AMT5': 0.0, 'PAY_AMT6': 0.05999999865889549, 'SEX_1': -0.009999999776482582, 'SEX_2': -0.019999999552965164, 'EDUCATION_1': 0.009999999776482582, 'EDUCATION_2': 0.019999999552965164, 'EDUCATION_3': -0.0, 'EDUCATION_4': 0.0, 'MARRIAGE_1': 0.009999999776482582, 'MARRIAGE_2': 0.009999999776482582, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 2, 'MARRIAGE': 1, 'LIMIT_BAL': 500000, 'AGE': 42, 'PAY_0': 0, 'PAY_2': 0, 'PAY_3': -2, 'PAY_4': -2, 'PAY_5': -2, 'PAY_6': -2, 'BILL_AMT1': 149838, 'BILL_AMT2': 0, 'BILL_AMT3': 0, 'BILL_AMT4': 0, 'BILL_AMT5': 0, 'BILL_AMT6': 0, 'PAY_AMT1': 0, 'PAY_AMT2': 0, 'PAY_AMT3': 0, 'PAY_AMT4': 0, 'PAY_AMT5': 0, 'PAY_AMT6': 0}",0.5720118284225464,False
651,0.48470443,"{'LIMIT_BAL': -0.07000000029802322, 'AGE': -0.03999999910593033, 'PAY_0': -0.18000000715255737, 'PAY_2': -0.14000000059604645, 'PAY_3': -0.05999999865889549, 'PAY_4': -0.05999999865889549, 'PAY_5': -0.019999999552965164, 'PAY_6': -0.05999999865889549, 'BILL_AMT1': 0.20000000298023224, 'BILL_AMT2': -0.019999999552965164, 'BILL_AMT3': -0.0, 'BILL_AMT4': -0.019999999552965164, 'BILL_AMT5': 0.009999999776482582, 'BILL_AMT6': -0.0, 'PAY_AMT1': 0.18000000715255737, 'PAY_AMT2': -0.009999999776482582, 'PAY_AMT3': 0.05000000074505806, 'PAY_AMT4': 0.14000000059604645, 'PAY_AMT5': 0.019999999552965164, 'PAY_AMT6': 0.05999999865889549, 'SEX_1': 0.009999999776482582, 'SEX_2': 0.0, 'EDUCATION_1': -0.009999999776482582, 'EDUCATION_2': -0.009999999776482582, 'EDUCATION_3': -0.0, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.0, 'MARRIAGE_2': -0.029999999329447746, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 1, 'EDUCATION': 1, 'MARRIAGE': 2, 'LIMIT_BAL': 270000, 'AGE': 32, 'PAY_0': -2, 'PAY_2': -2, 'PAY_3': -2, 'PAY_4': -2, 'PAY_5': -2, 'PAY_6': -2, 'BILL_AMT1': 0, 'BILL_AMT2': 0, 'BILL_AMT3': 1100, 'BILL_AMT4': 300, 'BILL_AMT5': -200, 'BILL_AMT6': -200, 'PAY_AMT1': 0, 'PAY_AMT2': 1100, 'PAY_AMT3': 300, 'PAY_AMT4': 0, 'PAY_AMT5': 0, 'PAY_AMT6': 0}",0.5720118284225464,False
4568,0.22280282,"{'LIMIT_BAL': -0.17000000178813934, 'AGE': -0.009999999776482582, 'PAY_0': -0.25, 'PAY_2': -0.17000000178813934, 'PAY_3': -0.05000000074505806, 'PAY_4': -0.07999999821186066, 'PAY_5': -0.05000000074505806, 'PAY_6': -0.03999999910593033, 'BILL_AMT1': -0.07000000029802322, 'BILL_AMT2': 0.019999999552965164, 'BILL_AMT3': 0.03999999910593033, 'BILL_AMT4': 0.05000000074505806, 'BILL_AMT5': -0.009999999776482582, 'BILL_AMT6': -0.03999999910593033, 'PAY_AMT1': -0.10999999940395355, 'PAY_AMT2': -0.07999999821186066, 'PAY_AMT3': -0.05999999865889549, 'PAY_AMT4': -0.07999999821186066, 'PAY_AMT5': -0.019999999552965164, 'PAY_AMT6': -0.03999999910593033, 'SEX_1': -0.019999999552965164, 'SEX_2': -0.019999999552965164, 'EDUCATION_1': -0.009999999776482582, 'EDUCATION_2': -0.029999999329447746, 'EDUCATION_3': -0.009999999776482582, 'EDUCATION_4': 0.0, 'MARRIAGE_1': 0.009999999776482582, 'MARRIAGE_2': 0.03999999910593033, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 1, 'MARRIAGE': 1, 'LIMIT_BAL': 240000, 'AGE': 41, 'PAY_0': 0, 'PAY_2': 0, 'PAY_3': 0, 'PAY_4': 0, 'PAY_5': 0, 'PAY_6': 0, 'BILL_AMT1': 126395, 'BILL_AMT2': 129371, 'BILL_AMT3': 132218, 'BILL_AMT4': 136003, 'BILL_AMT5': 139798, 'BILL_AMT6': 142574, 'PAY_AMT1': 5000, 'PAY_AMT2': 5000, 'PAY_AMT3': 6000, 'PAY_AMT4': 6000, 'PAY_AMT5': 5098, 'PAY_AMT6': 5281}",0.5720118284225464,False
10526,0.63446355,"{'LIMIT_BAL': 0.30000001192092896, 'AGE': -0.0, 'PAY_0': 0.05999999865889549, 'PAY_2': 0.4699999988079071, 'PAY_3': -0.18000000715255737, 'PAY_4': -0.05000000074505806, 'PAY_5': -0.07000000029802322, 'PAY_6': -0.03999999910593033, 'BILL_AMT1': -0.009999999776482582, 'BILL_AMT2': -0.05000000074505806, 'BILL_AMT3': -0.009999999776482582, 'BILL_AMT4': -0.009999999776482582, 'BILL_AMT5': -0.009999999776482582, 'BILL_AMT6': -0.019999999552965164, 'PAY_AMT1': 0.10000000149011612, 'PAY_AMT2': 0.05000000074505806, 'PAY_AMT3': 0.11999999731779099, 'PAY_AMT4': -0.15000000596046448, 'PAY_AMT5': 0.0, 'PAY_AMT6': 0.07000000029802322, 'SEX_1': 0.029999999329447746, 'SEX_2': 0.019999999552965164, 'EDUCATION_1': 0.0, 'EDUCATION_2': 0.0, 'EDUCATION_3': -0.0, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.009999999776482582, 'MARRIAGE_2': -0.019999999552965164, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 1, 'EDUCATION': 2, 'MARRIAGE': 2, 'LIMIT_BAL': 20000, 'AGE': 24, 'PAY_0': 1, 'PAY_2': 2, 'PAY_3': -1, 'PAY_4': 0, 'PAY_5': -1, 'PAY_6': -1, 'BILL_AMT1': 12060, 'BILL_AMT2': 11047, 'BILL_AMT3': 780, 'BILL_AMT4': 390, 'BILL_AMT5': 12246, 'BILL_AMT6': 12409, 'PAY_AMT1': 0, 'PAY_AMT2': 780, 'PAY_AMT3': 0, 'PAY_AMT4': 12246, 'PAY_AMT5': 911, 'PAY_AMT6': 0}",0.5720118284225464,True
18383,0.7657362,"{'LIMIT_BAL': 0.09000000357627869, 'AGE': -0.07000000029802322, 'PAY_0': 0.8999999761581421, 'PAY_2': -0.10000000149011612, 'PAY_3': -0.14000000059604645, 'PAY_4': 0.27000001072883606, 'PAY_5': -0.009999999776482582, 'PAY_6': -0.03999999910593033, 'BILL_AMT1': 0.0, 'BILL_AMT2': 0.019999999552965164, 'BILL_AMT3': 0.05000000074505806, 'BILL_AMT4': -0.0, 'BILL_AMT5': -0.0, 'BILL_AMT6': -0.009999999776482582, 'PAY_AMT1': 0.05000000074505806, 'PAY_AMT2': -0.03999999910593033, 'PAY_AMT3': 0.11999999731779099, 'PAY_AMT4': 0.07999999821186066, 'PAY_AMT5': 0.009999999776482582, 'PAY_AMT6': 0.029999999329447746, 'SEX_1': -0.019999999552965164, 'SEX_2': -0.009999999776482582, 'EDUCATION_1': 0.0, 'EDUCATION_2': 0.0, 'EDUCATION_3': 0.029999999329447746, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.009999999776482582, 'MARRIAGE_2': -0.019999999552965164, 'MARRIAGE_3': 0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 3, 'MARRIAGE': 2, 'LIMIT_BAL': 50000, 'AGE': 22, 'PAY_0': 2, 'PAY_2': -1, 'PAY_3': -1, 'PAY_4': 2, 'PAY_5': 0, 'PAY_6': 0, 'BILL_AMT1': 1261, 'BILL_AMT2': 1261, 'BILL_AMT3': 2136, 'BILL_AMT4': 1560, 'BILL_AMT5': 1170, 'BILL_AMT6': 780, 'PAY_AMT1': 1261, 'PAY_AMT2': 2136, 'PAY_AMT3': 0, 'PAY_AMT4': 0, 'PAY_AMT5': 0, 'PAY_AMT6': 0}",0.5720118284225464,True
21882,0.48277447,"{'LIMIT_BAL': -0.12999999523162842, 'AGE': -0.03999999910593033, 'PAY_0': -0.14000000059604645, 'PAY_2': -0.11999999731779099, 'PAY_3': -0.05000000074505806, 'PAY_4': -0.03999999910593033, 'PAY_5': -0.03999999910593033, 'PAY_6': -0.019999999552965164, 'BILL_AMT1': 0.2199999988079071, 'BILL_AMT2': -0.019999999552965164, 'BILL_AMT3': -0.029999999329447746, 'BILL_AMT4': -0.009999999776482582, 'BILL_AMT5': -0.009999999776482582, 'BILL_AMT6': -0.0, 'PAY_AMT1': 0.05999999865889549, 'PAY_AMT2': 0.09000000357627869, 'PAY_AMT3': 0.05999999865889549, 'PAY_AMT4': 0.09000000357627869, 'PAY_AMT5': 0.0, 'PAY_AMT6': 0.05999999865889549, 'SEX_1': -0.009999999776482582, 'SEX_2': -0.009999999776482582, 'EDUCATION_1': 0.009999999776482582, 'EDUCATION_2': -0.0, 'EDUCATION_3': 0.009999999776482582, 'EDUCATION_4': 0.0, 'MARRIAGE_1': -0.0, 'MARRIAGE_2': -0.019999999552965164, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 2, 'EDUCATION': 3, 'MARRIAGE': 2, 'LIMIT_BAL': 160000, 'AGE': 26, 'PAY_0': -1, 'PAY_2': -1, 'PAY_3': -1, 'PAY_4': -1, 'PAY_5': -1, 'PAY_6': -1, 'BILL_AMT1': 390, 'BILL_AMT2': 390, 'BILL_AMT3': 390, 'BILL_AMT4': 390, 'BILL_AMT5': 390, 'BILL_AMT6': 390, 'PAY_AMT1': 390, 'PAY_AMT2': 390, 'PAY_AMT3': 390, 'PAY_AMT4': 390, 'PAY_AMT5': 390, 'PAY_AMT6': 390}",0.5720118284225464,False
7571,0.43383458,"{'LIMIT_BAL': 0.23000000417232513, 'AGE': 0.009999999776482582, 'PAY_0': -0.25999999046325684, 'PAY_2': -0.12999999523162842, 'PAY_3': -0.019999999552965164, 'PAY_4': -0.05999999865889549, 'PAY_5': -0.03999999910593033, 'PAY_6': -0.029999999329447746, 'BILL_AMT1': -0.10000000149011612, 'BILL_AMT2': -0.019999999552965164, 'BILL_AMT3': 0.029999999329447746, 'BILL_AMT4': -0.009999999776482582, 'BILL_AMT5': 0.009999999776482582, 'BILL_AMT6': 0.009999999776482582, 'PAY_AMT1': -0.0, 'PAY_AMT2': 0.029999999329447746, 'PAY_AMT3': -0.03999999910593033, 'PAY_AMT4': 0.0, 'PAY_AMT5': 0.009999999776482582, 'PAY_AMT6': -0.009999999776482582, 'SEX_1': 0.019999999552965164, 'SEX_2': 0.029999999329447746, 'EDUCATION_1': 0.009999999776482582, 'EDUCATION_2': -0.009999999776482582, 'EDUCATION_3': 0.009999999776482582, 'EDUCATION_4': 0.0, 'MARRIAGE_1': 0.029999999329447746, 'MARRIAGE_2': 0.05000000074505806, 'MARRIAGE_3': -0.0, 'MARRIAGE_4': 0.0}","{'SEX': 1, 'EDUCATION': 3, 'MARRIAGE': 1, 'LIMIT_BAL': 50000, 'AGE': 42, 'PAY_0': 0, 'PAY_2': 0, 'PAY_3': 0, 'PAY_4': 0, 'PAY_5': 0, 'PAY_6': 0, 'BILL_AMT1': 50708, 'BILL_AMT2': 44610, 'BILL_AMT3': 44043, 'BILL_AMT4': 28557, 'BILL_AMT5': 27903, 'BILL_AMT6': 29164, 'PAY_AMT1': 1872, 'PAY_AMT2': 1566, 'PAY_AMT3': 983, 'PAY_AMT4': 1027, 'PAY_AMT5': 3000, 'PAY_AMT6': 999}",0.5720118284225464,False
