LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT PAYMENT NEXT MONTH,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,MARRIAGE_4
10000.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1727.0,1508.0,3096.0,3400.0,4522.0,-240.0,1508.0,3098.0,3400.0,4522.0,0.0,1000.0,0,0,1,1,0,0,0,0,1,0,0
260000.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,524.0,248.0,552.0,0.0,80.0,121.0,248.0,552.0,0.0,80.0,121.0,219.0,0,1,0,1,0,0,0,1,0,0,0
130000.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,130874.0,132743.0,131862.0,101971.0,101689.0,101303.0,5500.0,6000.0,4000.0,4000.0,4000.0,3800.0,0,1,0,1,0,0,0,0,1,0,0
150000.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,227634.0,356216.0,247706.0,239805.0,242653.0,39496.0,18000.0,12370.0,6552.0,6936.0,395.0,0.0,0,1,0,1,0,0,0,0,1,0,0
160000.0,41.0,0.0,-1.0,0.0,0.0,2.0,2.0,117126.0,11222.0,15513.0,18087.0,17499.0,19939.0,15315.0,15000.0,3000.0,0.0,3000.0,0.0,0,1,0,1,0,0,0,1,0,0,0
30000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,26277.0,25896.0,27460.0,27735.0,27711.0,28643.0,2000.0,2000.0,2000.0,2000.0,1500.0,1500.0,0,0,1,0,0,1,0,1,0,0,0
80000.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,80904.0,64144.0,54029.0,51497.0,28250.0,28073.0,2500.0,2200.0,1817.0,1200.0,1200.0,1100.0,0,0,1,0,0,1,0,1,0,0,0
50000.0,32.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0
290000.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25530.0,37737.0,29636.0,24104.0,33814.0,32530.0,15035.0,1539.0,1290.0,10000.0,5000.0,3000.0,0,0,1,0,1,0,0,0,1,0,0
150000.0,45.0,1.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,10640.0,0.0,0.0,0.0,0.0,10640.0,0.0,0,0,1,0,0,1,0,1,0,0,0
470000.0,47.0,0.0,0.0,0.0,0.0,0.0,2.0,447057.0,450070.0,451090.0,442237.0,450924.0,428239.0,17600.0,17400.0,15360.0,31000.0,0.0,28900.0,0,0,1,1,0,0,0,1,0,0,0
200000.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,126082.0,127734.0,125205.0,113304.0,114667.0,110138.0,6216.0,4371.0,4037.0,6613.0,4055.0,3575.0,0,0,1,1,0,0,0,0,1,0,0
230000.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,41134.0,50379.0,54556.0,58624.0,59848.0,68828.0,10000.0,5000.0,5000.0,2197.0,10000.0,5000.0,0,0,1,0,0,1,0,0,0,1,0
50000.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30145.0,26212.0,17354.0,18157.0,18952.0,14036.0,5000.0,2000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,1,0,0,0,0,1,0,0
150000.0,32.0,6.0,5.0,4.0,3.0,2.0,2.0,81341.0,79529.0,77757.0,75841.0,73678.0,77273.0,0.0,0.0,0.0,0.0,4874.0,1000.0,0,0,1,0,1,0,0,0,1,0,0
120000.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,44966.0,45726.0,40795.0,39938.0,40610.0,39397.0,1690.0,2562.0,1392.0,1442.0,1415.0,1422.0,0,1,0,0,1,0,0,1,0,0,0
160000.0,26.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,3720.0,396.0,396.0,396.0,396.0,1353.0,396.0,396.0,396.0,396.0,1353.0,2423.0,0,1,0,0,1,0,0,0,1,0,0
200000.0,30.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,896.0,896.0,670.0,6220.0,8536.0,23040.0,900.0,674.0,6450.0,8579.0,23155.0,16072.0,0,0,1,1,0,0,0,0,1,0,0
100000.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,91572.0,95201.0,94977.0,97332.0,74637.0,77386.0,5100.0,3000.0,3139.0,27000.0,4000.0,4000.0,0,1,0,0,1,0,0,0,1,0,0
30000.0,29.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,7965.0,3101.0,3126.0,7365.0,3245.0,828.0,1000.0,3126.0,7365.0,0.0,828.0,8511.0,0,1,0,0,1,0,0,0,1,0,0
150000.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,29076.0,14131.0,15112.0,13652.0,86575.0,82377.0,1200.0,1500.0,3795.0,80000.0,1700.0,0.0,0,0,1,0,0,1,0,1,0,0,0
280000.0,49.0,2.0,2.0,2.0,0.0,0.0,0.0,28788.0,31315.0,30529.0,33562.0,34557.0,35600.0,3315.0,0.0,3562.0,1557.0,1600.0,3175.0,0,0,1,0,1,0,0,1,0,0,0
50000.0,23.0,-1.0,0.0,0.0,2.0,2.0,2.0,865.0,1893.0,3991.0,3748.0,3748.0,-3148.0,1202.0,2300.0,0.0,0.0,4999.0,0.0,0,0,1,0,1,0,0,0,1,0,0
150000.0,41.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,1650.0,0.0,0.0,6784.0,6923.0,14116.0,0.0,0.0,6784.0,159.0,167.0,760.0,0,0,1,0,1,0,0,1,0,0,0
170000.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,56364.0,58132.0,59171.0,55888.0,53672.0,51461.0,3000.0,3000.0,2000.0,3000.0,3000.0,3000.0,0,1,0,0,1,0,0,0,1,0,0
80000.0,25.0,0.0,0.0,0.0,-1.0,0.0,0.0,78230.0,76277.0,36232.0,30200.0,30326.0,30290.0,2289.0,1005.0,31063.0,1094.0,1109.0,1013.0,0,1,0,0,0,1,0,0,1,0,0
280000.0,27.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,6564.0,1333.0,21064.0,19969.0,578.0,35152.0,1334.0,21003.0,428.0,12.0,35152.0,892.0,0,1,0,1,0,0,0,0,1,0,0
80000.0,25.0,3.0,2.0,0.0,0.0,-1.0,-1.0,79977.0,78091.0,80288.0,82150.0,319.0,85.0,0.0,3456.0,3750.0,319.0,85.0,322.0,0,1,0,0,1,0,0,0,1,0,0
320000.0,50.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,885.0,2116.0,11481.0,0.0,0.0,0.0,2116.0,11481.0,0.0,0.0,0.0,240.0,0,0,1,1,0,0,0,1,0,0,0
